Drug1,Drug2,Cell line,ZIP,Bliss,Loewe,HSA
Paclitaxel,Carboplatin,A-549,14.2,13.8,11.4,15.1
paclitaxel ,carboplatin,a549,12.6,12.1,10.2,13.9
Doxorubicin,Cisplatin,MCF-7,-12.4,-11.9,-13.1,-10.8
Gemcitabine,Erlotinib,PANC-1,2.1,1.8,0.4,3.2
Carboplatin,Paclitaxel,A-549,15.0,14.4,12.0,16.2
Tamoxifen,Tamoxifen,MCF-7,0.0,0.0,0.0,0.0
Vinblastine,,SK-MEL-28,5.5,5.1,4.0,6.0
5-Fluorouracil,Oxaliplatin,HCT-116,21.7,20.9,19.3,22.8
Sorafenib,Everolimus,HEP-G2,N/A,7.2,6.1,8.0
Irinotecan,Cetuximab,HCT116,-3.4,-3.0,-4.2,-2.1
